"","EAN_UPC","Product_name"
"105",NA,"Mondamin Soßenbinder Dunkel, 1er-Pack (1 x 250 g)"
"106","8718114824758","Knorr Fix Würzmischung Knuspriges Brathähnchen für ein leckeres Fleischgericht mit natürlichen Zutaten 4 Portionen"
"107","8714100790328","Knorr"
"108",NA,"Knorr Pasta Snack Brokkoli-Käse-Sauce leckeres Nudelgericht fertig in nur 5 Minuten - 8 x 62 g Becher -, 496 g & Pasta Snack Pilz-Rahm-Sauce leckeres Nudelgericht - 8 x 63 g Becher -, 504 g"
"109","4046800310754","Mondamin  Grießbrei Klassische Art für ein süßes Dessert schnell zubereitet, nur Milch zugeben 8x 89 g"
"110",NA,"Knorr Pasta Snack verschiedene Sorten mit leckeren Instant Nudeln fertig in nur 5 Minuten, 24 Stück & Pasta Snack Brokkoli-Käse-Soße leckere Instant Nudeln fertig in nur 5 Minuten 62 g 8 Stück"
"111","9000275740404","Knorr Bratensaft Trockenmischung (authentischer Fleischgeschmack) 1er Pack (1 x 2kg)"
"112","8714100823927","Knorr"
"113","8718114827612","Knorr Fix Würzmischung Kräuter-Sahne Hähnchen für ein leckeres Ofengericht mit natürlichen Zutaten 3 Portionen"
"114","8714100823804","Knorr  Salatkrönung 7-Kräuter für ein leckeres Salatdressing mit natürlichen Zutaten* 14x 5er Pack"
"115","4007801110330","Knorr Käse Sauce (cremige Konsistenz, abgerundeter Käsegeschmack) 1er Pack (1 x 1kg)"
"116","8714100955161","Knorr  Pasta Snack Pot Käse & Sahne leckere Instant Nudeln fertig in nur 5 Minuten 8x 71g"
"117","8712100739651","Pfanni  Mini-Knödel gefüllt mit Frischkäse und Kräutern   320 g"
"118","8718114946696","Knorr"
"119","4038700117595","Knorr Tomato al Gusto Nudelsosse All' Arrabbiata   370 g"
"120","4000400118035","Knorr  Rahm Soße leckere hellbraune Sauce ohne geschmacksverstärkende Zusatzstoffe 238 g"
"121","8714100823743","Knorr"
"122","8718114827773","Knorr Fix Würzmischung Nudel-Broccoli Auflauf für einen leckeren Nudelauflauf ohne geschmacksverstärkende Zusatzstoffe 46 g 1 Stück"
"123",NA,"Knorr Streuer Frühlingskräuter für Gemüse 60 g"
"124","8712566410552","Knorr  Suppenliebe Tomaten Cremesuppe fruchtige Gemüsesuppe mit natürlichen Zutaten 62 g 1 Stück"
"125","8714100698068","Knorr  Pasta Snack Pot Käse & Sahne leckere Instant Nudeln fertig in nur 5 Minuten 71g"
"126","8718114947174","Knorr Fix Würzmischung Knuspriges Brathähnchen für ein leckeres Fleischgericht mit natürlichen Zutaten 28 x 29 g"
"127","4000400130815","Pfanni  Teig für Kartoffel-Knödel Halb & Halb der Klassiker für ein leckeres Kartoffelgericht aus nachhaltigem Anbau 318 g"
"128","8712100981913","Knorr"
"129","9000275712715","Knorr Klare Suppe Bouillon rein pflanzlich, 1er Pack (1 x 1 kg)"
"130","4000400001573","Knorr Sauce Hollandaise mit Crème fraîche 250ml 250ml"
"131","8720182297778","Hellmann's Hot Mexican Sauce 250ml 250ml"
"132",NA,"Knorr Pasta und Kartoffel, Käse-Sahne Sauce (8x), Brokkoli Käse Sauce (8x) Pfanni Kartoffelpüree Röstzwiebeln Croutons (8x), 1.568 kg & Kartoffel Snack Speck & Zwiebeln, 8er Pack ( 8 x 58g )"
"133","8717163861776","Knorr Fix Würzmischung Bolognese Typisch Italienisch! für ein leckeres Nudelgericht ohne geschmacksverstärkende Zusatzstoffe 42 g 1 Stück"
"134","8720182334657","Hellmann's  Ketjap"
"135",NA,"Knorr Feinschmecker Pfifferling Soße, 1er-Pack (1 x 250 ml)"
